PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chr17_f_c1158[k=10][m=2]_GAACT,chr17,79852418,79852418,+,2,NA,"exon (NM_001289414, exon 3 of 4)","exon (NM_001289414, exon 3 of 4)",2615,NM_001002249,51529,Hs.534456,XM_005256375,ENSG00000141552,ANAPC11,APC11|Apc11p,anaphase promoting complex subunit 11,protein-coding
B045_1-4_chr19_f_c843[k=6][m=2]_GGACA,chr19,36211290,36211290,+,2,NA,"exon (NM_014727, exon 3 of 37)","exon (NM_014727, exon 3 of 37)",2369,NM_014727,9757,Hs.676457,XM_005259446,ENSG00000272333,KMT2B,HRX2|MLL1B|MLL2|MLL4|TRX2|WBP7,lysine (K)-specific methyltransferase 2B,protein-coding
B045_1-4_chr10_r_c689[k=13][m=2]_GAACA,chr10,103558815,103558815,-,2,NA,"exon (NM_001142434, exon 8 of 15)","exon (NM_001142434, exon 8 of 15)",15645,NM_006993,10360,Hs.90691,NM_006993,ENSG00000107833,NPM3,PORMIN|TMEM123,nucleophosmin/nucleoplasmin 3,protein-coding
B045_1-4_chr12_f_c270[k=6][m=2]_AGACT,chr12,32896366,32896366,+,2,NA,"3' UTR (NM_012063, exon 19 of 19)","3' UTR (NM_012063, exon 19 of 19)",12521,NM_001040436,51067,Hs.706015,XM_005253381,ENSG00000139131,YARS2,MLASA2|MT-TYRRS|TYRRS,"tyrosyl-tRNA synthetase 2, mitochondrial",protein-coding
B045_1-4_chr21_r_c280[k=13][m=2]_GGACG,chr21,47704180,47704180,-,2,NA,"exon (NM_003906, exon 1 of 28)","exon (NM_003906, exon 1 of 28)",-1128,NM_003906,8888,Hs.592438,XM_005261203,ENSG00000160294,MCM3AP,GANP|MAP80|SAC3,minichromosome maintenance complex component 3 associated protein,protein-coding
B045_1-4_chr22_f_c329[k=6][m=2]_GGACC,chr22,37964247,37964247,+,2,NA,"exon (NM_152243, exon 3 of 3)","exon (NM_152243, exon 3 of 3)",7776,NM_152243,11135,Hs.225356,XM_005261318,ENSG00000128283,CDC42EP1,BORG5|CEP1|MSE55,CDC42 effector protein (Rho GTPase binding) 1,protein-coding
B045_1-4_chr6_r_c905[k=4][m=2]_AGACA,chr6,116600525,116600525,-,2,NA,promoter-TSS (NM_001080976),promoter-TSS (NM_001080976),-755,NM_003309,7259,Hs.744978,NM_003309,TSPYL1,TSPYL,TSPY-like 1,protein-coding,
B045_1-4_chr14_r_c491[k=4][m=2]_GAACG,chr14,77492280,77492280,-,2,NA,"exon (NM_024496, exon 1 of 1)","exon (NM_024496, exon 1 of 1)",-2762,NM_024496,64207,Hs.745194,NM_024496,ENSG00000119669,IRF2BPL,C14orf4|EAP1,interferon regulatory factor 2 binding protein-like,protein-coding
B045_1-4_chr17_r_c1294[k=37][m=2]_CGACG,chr17,79479307,79479307,-,2,NA,"exon (NM_001199954, exon 2 of 6)","exon (NM_001199954, exon 2 of 6)",-585,NR_037688,71,Hs.713764,NM_001199954,ENSG00000184009,ACTG1,ACT|ACTG|BRWS2|DFNA20|DFNA26,"actin, gamma 1",protein-coding
B045_1-4_chr19_f_c771[k=12][m=2]_AGACT,chr19,30500013,30500013,+,2,NA,"exon (NM_003796, exon 8 of 11)","exon (NM_003796, exon 8 of 11)",66867,NM_003796,8725,Hs.466391,XM_005259362,ENSG00000105176,URI1,C19orf2|NNX3|PPP1R19|RMP|URI,"URI1, prefoldin-like chaperone",protein-coding
B045_1-4_chr22_r_c299[k=4][m=2]_GAACT,chr22,36698642,36698642,-,2,NA,"exon (NM_002473, exon 20 of 41)","exon (NM_002473, exon 20 of 41)",15689,NR_106877,102465491,NR_106877,MIR6819,hsa-mir-6819,microRNA mir-6819,ncRNA,,
B045_1-4_chr12_r_c923[k=8][m=2]_GGACT,chr12,122692342,122692342,-,2,NA,TTS (NM_030765),TTS (NM_030765),-4114,NM_030765,79369,Hs.363315,XM_005253620,ENSG00000176383,B3GNT4,B3GN-T4|beta3Gn-T4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",protein-coding
B045_1-4_chr2_r_c1181[k=4][m=2]_GAACT,chr2,178415398,178415398,-,2,NA,"3' UTR (NM_152517, exon 1 of 1)","3' UTR (NM_152517, exon 1 of 1)",-2126,NM_152517,150737,Hs.447659,NM_152517,TTC30B,IFT70|fleer,tetratricopeptide repeat domain 30B,protein-coding,
B045_1-4_chrX_f_c270[k=6][m=2]_AAACC,chrX,51639788,51639788,+,2,NA,"exon (NM_006986, exon 4 of 13)","exon (NM_006986, exon 4 of 13)",3090,NM_006986,9500,Hs.5258,XM_005262046,ENSG00000179222,MAGED1,DLXIN-1|NRAGE,"melanoma antigen family D, 1",protein-coding
B045_1-4_chr2_r_c1376[k=4][m=2]_GGACA,chr2,219498132,219498132,-,2,NA,"intron (NM_032726, intron 10 of 15)","intron (NM_032726, intron 10 of 15)",-25644,NM_032726,84812,Hs.632528,XM_005246913,ENSG00000115556,PLCD4,0,"phospholipase C, delta 4",protein-coding
B045_1-4_chr6_f_c1177[k=7][m=2]_GGACA,chr6,155154524,155154524,+,2,NA,"exon (NM_001286189, exon 22 of 22)","exon (NM_001286189, exon 22 of 22)",100012,NM_014892,22828,Hs.591329,XM_005266866,ENSG00000213079,SCAF8,RBM16,SR-related CTD-associated factor 8,protein-coding
B045_1-4_chrX_f_c111[k=9][m=2]_TGACT,chrX,24229162,24229162,+,2,NA,"exon (NM_001178084, exon 8 of 8)","exon (NM_001178084, exon 8 of 8)",61308,NM_003410,7543,Hs.336681,XM_005274589,ENSG00000005889,ZFX,ZNF926,"zinc finger protein, X-linked",protein-coding
B045_1-4_chr17_f_c71[k=6][m=2]_AGACT,chr17,3629175,3629175,+,2,NA,"exon (NM_031965, exon 1 of 1)","exon (NM_031965, exon 1 of 1)",1978,NM_031965,83903,Hs.534059,NM_031965,ENSG00000177602,GSG2,HASPIN,germ cell associated 2 (haspin),protein-coding
B045_1-4_chr6_r_c362[k=6][m=2]_CAACT,chr6,33288548,33288548,-,2,NA,"exon (NM_001350, exon 3 of 8).4","exon (NM_001350, exon 3 of 8).4",-2245,NM_001254717,1616,Hs.336916,XM_005248858,ENSG00000204209,DAXX,BING2|DAP6|EAP1,death-domain associated protein,protein-coding
B045_1-4_chr18_r_c2[k=15][m=2]_AGACT,chr18,319876,319876,-,2,NA,"3' UTR (NM_130386, exon 10 of 10)","3' UTR (NM_130386, exon 10 of 10)",51817,NM_005131,9984,Hs.712543,NM_005131,ENSG00000079134,THOC1,HPR1|P84|P84N5,THO complex 1,protein-coding
B045_1-4_chr9_r_c206[k=8][m=2]_GGACC,chr9,35060451,35060451,-,2,NA,"exon (NM_007126, exon 13 of 17)","exon (NM_007126, exon 13 of 17)",-12288,NM_007126,7415,Hs.529782,XM_005251575,ENSG00000165280,VCP,ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97,valosin containing protein,protein-coding
B045_1-4_chr17_r_c146[k=4][m=2]_GAACA,chr17,4841070,4841070,-,2,NA,"exon (NM_001165418, exon 7 of 7)","exon (NM_001165418, exon 7 of 7)",-2392,NM_003562,8402,Hs.184877,NM_001165417,ENSG00000108528,SLC25A11,OGC|SLC20A4,"solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11",protein-coding
B045_1-4_chr19_r_c1174[k=5][m=2]_TTACC,chr19,48887618,48887618,-,2,NA,"exon (NM_006801, exon 4 of 5)","exon (NM_006801, exon 4 of 5)",-7192,NM_006801,10945,Hs.515515,NM_006801,ENSG00000105438,KDELR1,ERD2|ERD2.1|HDEL|PM23,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1,protein-coding
B045_1-4_chr20_r_c272[k=4][m=2]_GGACT,chr20,34241187,34241187,-,2,NA,"exon (NM_152838, exon 3 of 3)","exon (NM_152838, exon 3 of 3)",-644,NM_003915,8904,Hs.700188,NM_001198863,ENSG00000214078,CPNE1,COPN1|CPN1,copine I,protein-coding
B045_1-4_chr9_f_c365[k=4][m=2]_GGACG,chr9,96440152,96440152,+,2,NA,"3' UTR (NM_005392, exon 22 of 22)","3' UTR (NM_005392, exon 22 of 22)",101243,NM_005392,5253,Hs.211441,XM_005252051,ENSG00000197724,PHF2,CENP-35|GRC5|JHDM1E,PHD finger protein 2,protein-coding
B045_1-4_chr10_f_c145[k=4][m=2]_TGACA,chr10,17756825,17756825,+,2,NA,"non-coding (NR_037774, exon 12 of 12)","non-coding (NR_037774, exon 12 of 12)",-37435,NM_001098844,653567,Hs.733272,XM_005252650,ENSG00000148483,TMEM236,FAM23A|FAM23B|bA162I21.2|bA16O1.2,transmembrane protein 236,protein-coding
B045_1-4_chr19_f_c2[k=4][m=2]_GGACT,chr19,519170,519170,+,2,NA,"exon (NM_033513, exon 2 of 2)","exon (NM_033513, exon 2 of 2)",11673,NM_033513,91978,Hs.369613,NM_033513,ENSG00000141933,TPGS1,C19orf20|GTRGEO22|PGs1,tubulin polyglutamylase complex subunit 1,protein-coding
B045_1-4_chr6_r_c201[k=4][m=2]_AGACA,chr6,26637671,26637671,-,2,NA,"exon (NM_001242799, exon 3 of 3)","exon (NM_001242799, exon 3 of 3)",-22309,NM_001242797,79692,Hs.530271,NM_001242797,ZNF322,HCG12|ZNF322A|ZNF388|ZNF489,zinc finger protein 322,protein-coding,
B045_1-4_chr20_f_c584[k=8][m=2]_GGACA,chr20,57484799,57484799,+,2,NA,"exon (NM_080426, exon 9 of 12)","exon (NM_080426, exon 9 of 12)",18373,NM_080426,2778,Hs.125898,XM_005260396,ENSG00000087460,GNAS,AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|PHP1A|PHP1B|PHP1C|POH,GNAS complex locus,protein-coding
B045_1-4_chr9_f_c942[k=5][m=2]_AGACT,chr9,140671125,140671125,+,2,NA,"exon (NM_001145527, exon 12 of 16)","exon (NM_001145527, exon 12 of 16)",13651,NR_024341,643210,Hs.721002,NM_001039765,EHMT1-IT1,0,EHMT1 intronic transcript 1,ncRNA,
B045_1-4_chr10_r_c842[k=4][m=2]_AAACA,chr10,120816514,120816514,-,2,NA,"exon (NM_003750, exon 13 of 22)","exon (NM_003750, exon 13 of 22)",-3136,NR_002917,641451,Hs.688653,NR_002917,SNORA19,ACA19,"small nucleolar RNA, H/ACA box 19",snoRNA,
B045_1-4_chr10_f_c860[k=8][m=2]_TAACA,chr10,112724514,112724514,+,2,NA,"exon (NM_007373, exon 2 of 9)","exon (NM_007373, exon 2 of 9)",631,NM_001269039,8036,Hs.104315,XM_005270186,ENSG00000108061,SHOC2,SIAA0862|SOC2|SUR8,soc-2 suppressor of clear homolog (C. elegans),protein-coding
B045_1-4_chr3_r_c548[k=4][m=2]_TGACT,chr3,53317701,53317701,-,2,NA,"3' UTR (NM_018403, exon 10 of 10)","3' UTR (NM_018403, exon 10 of 10)",27571,NR_047580,7086,Hs.89643,NM_001064,ENSG00000163931,TKT,HEL107|TK|TKT1,transketolase,protein-coding
B045_1-4_chr17_r_c179[k=21][m=2]_GGACA,chr17,5341480,5341480,-,2,NA,"exon (NM_001212, exon 2 of 6)","exon (NM_001212, exon 2 of 6)",-991,NM_001212,708,Hs.555866,NM_001212,ENSG00000108561,C1QBP,GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32,"complement component 1, q subcomponent binding protein",protein-coding
B045_1-4_chr17_f_c658[k=4][m=2]_GGACT,chr17,43246890,43246890,+,2,NA,"exon (NM_144608, exon 4 of 4)","exon (NM_144608, exon 4 of 4)",8626,NM_144608,124790,Hs.56382,XM_005257037,ENSG00000168517,HEXIM2,0,hexamethylene bis-acetamide inducible 2,protein-coding
B045_1-4_chr16_r_c191[k=6][m=2]_GGACA,chr16,3778517,3778517,-,2,NA,"exon (NM_001079846, exon 30 of 30)","exon (NM_001079846, exon 30 of 30)",10919,NM_001272049,10131,Hs.30345,NM_001272049,ENSG00000126602,TRAP1,HSP 75|HSP75|HSP90L|TRAP-1,TNF receptor-associated protein 1,protein-coding
B045_1-4_chr11_f_c507[k=12][m=2]_GGACT,chr11,61563375,61563375,+,2,NA,"exon (NM_004111, exon 2 of 2)","exon (NM_004111, exon 2 of 2)",3266,NM_004111,2237,Hs.409065,NM_004111,ENSG00000168496,FEN1,FEN-1|MF1|RAD2,flap structure-specific endonuclease 1,protein-coding
B045_1-4_chr16_r_c395[k=8][m=2]_CTACA,chr16,28109905,28109905,-,2,NA,"exon (NM_001270940, exon 25 of 25)","exon (NM_001270940, exon 25 of 25)",35075,NM_001109763,146395,Hs.91910,XM_005255133,ENSG00000169181,GSG1L,PRO19651,GSG1-like,protein-coding
B045_1-4_chr6_r_c255[k=14][m=2]_GAACT,chr6,30259402,30259402,-,2,NA,"non-coding (NR_024052, exon 5 of 5).2","non-coding (NR_024052, exon 5 of 5).2",-30125,NR_106951,102465537,NR_106951,MIR6891,hsa-mir-6891,microRNA mir-6891,ncRNA,,
B045_1-4_chr5_f_c1193[k=6][m=2]_GGACA,chr5,179201158,179201158,+,2,NA,"exon (NM_014757, exon 5 of 5)","exon (NM_014757, exon 5 of 5)",-19828,NM_145867,4056,Hs.706741,XM_005265912,ENSG00000213316,LTC4S,0,leukotriene C4 synthase,protein-coding
B045_1-4_chr5_r_c1111[k=5][m=2]_ATACT,chr5,180686735,180686735,-,2,NA,"intron (NM_032765, intron 1 of 1)","intron (NM_032765, intron 1 of 1)",-1384,NM_032765,84851,Hs.458412,XM_005266000,TRIM52,RNF102,tripartite motif containing 52,protein-coding,
B045_1-4_chr21_r_c169[k=4][m=2]_GGACT,chr21,40568259,40568259,-,2,NA,"exon (NM_033656, exon 41 of 41)","exon (NM_033656, exon 41 of 41)",12819,NM_001261824,8624,Hs.473838,XM_005261071,ENSG00000183527,PSMG1,C21LRP|DSCR2|LRPC21|PAC-1|PAC1,"proteasome (prosome, macropain) assembly chaperone 1",protein-coding
B045_1-4_chr10_r_c274[k=28][m=2]_CAACT,chr10,43882413,43882413,-,2,NA,"exon (NM_004966, exon 4 of 4)","exon (NM_004966, exon 4 of 4)",-9866,NM_001098208,3185,Hs.712955,XM_005271816,ENSG00000169813,HNRNPF,HNRPF|OK/SW-cl.23|mcs94-1,heterogeneous nuclear ribonucleoprotein F,protein-coding
B045_1-4_chr19_f_c1034[k=5][m=2]_GGACT,chr19,44103349,44103349,+,2,NA,"exon (NM_024327, exon 3 of 3)","exon (NM_024327, exon 3 of 3)",2611,NM_001145347,79177,Hs.11110,XM_005259260,ZNF576,0,zinc finger protein 576,protein-coding,
B045_1-4_chr3_r_c877[k=4][m=2]_GGACT,chr3,120044775,120044775,-,2,NA,"3' UTR (NM_001099678, exon 4 of 4)","3' UTR (NM_001099678, exon 4 of 4)",-23411,NM_001099678,116064,Hs.518084,NM_001099678,ENSG00000163428,LRRC58,0,leucine rich repeat containing 58,protein-coding
B045_1-4_chrX_f_c631[k=12][m=2]_GGACT,chrX,123236124,123236124,+,2,NA,"3' UTR (NM_006603, exon 33 of 33)","3' UTR (NM_006603, exon 33 of 33)",140568,NM_006603,10735,Hs.624663,XM_005262357,ENSG00000101972,STAG2,SA-2|SA2|SCC3B|bA517O1.1,stromal antigen 2,protein-coding
B045_1-4_chr1_r_c2529[k=12][m=2]_TTACT,chr1,245020971,245020971,-,2,NA,"exon (NM_031844, exon 8 of 14)","exon (NM_031844, exon 8 of 14)",-6856,NM_004501,3192,Hs.106212,NM_004501,ENSG00000153187,HNRNPU,HNRPU|SAF-A|U21.1|hnRNP U,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A),protein-coding
B045_1-4_chr11_r_c1047[k=6][m=2]_TGACT,chr11,118622437,118622437,-,2,NA,"3' UTR (NM_004397, exon 14 of 14)","3' UTR (NM_004397, exon 14 of 14)",-39220,NM_001257191,1656,Hs.408461,XM_005271417,DDX6,HLR2|P54|RCK,DEAD (Asp-Glu-Ala-Asp) box helicase 6,protein-coding,
B045_1-4_chr17_r_c341[k=8][m=2]_AAACC,chr17,17163721,17163721,-,2,NA,"exon (NM_001199125, exon 8 of 12)","exon (NM_001199125, exon 8 of 12)",-20291,NM_001199125,8533,Hs.6076,XM_005256837,ENSG00000141030,COPS3,CSN3|SGN3,COP9 signalosome subunit 3,protein-coding
B045_1-4_chr22_f_c587[k=4][m=2]_AGACA,chr22,50637745,50637745,+,2,NA,"3' UTR (NM_025204, exon 10 of 10)","3' UTR (NM_025204, exon 10 of 10)",-1663,NM_031454,83642,Hs.365405,XM_005261939,ENSG00000073169,SELO,0,selenoprotein O,protein-coding
B045_1-4_chr10_f_c100[k=14][m=2]_AGACA,chr10,13251323,13251323,+,2,NA,"3' UTR (NM_018518, exon 20 of 20)","3' UTR (NM_018518, exon 20 of 20)",25005,NM_145314,221044,Hs.112998,NM_145314,ENSG00000165623,UCMA,C10orf49|GRP,upper zone of growth plate and cartilage matrix associated,protein-coding
B045_1-4_chr16_f_c1160[k=6][m=2]_TGACT,chr16,89783932,89783932,+,2,NA,"non-coding (NR_036480, exon 4 of 4)","non-coding (NR_036480, exon 4 of 4)",-2844,NR_110128,92822,Hs.290154,XM_005256324,ENSG00000158805,ZNF276,CENP-Z|CENPZ|ZFP276|ZNF477,zinc finger protein 276,protein-coding
B045_1-4_chr13_f_c247[k=4][m=2]_AGACA,chr13,58206180,58206180,+,2,NA,"5' UTR (NM_001040429, exon 1 of 4)","5' UTR (NM_001040429, exon 1 of 4)",391,NM_001040429,27253,Hs.106511,XM_005266357,ENSG00000118946,PCDH17,PCDH68|PCH68,protocadherin 17,protein-coding
B045_1-4_chr1_r_c412[k=7][m=2]_TCACT,chr1,23885927,23885927,-,2,NA,"5' UTR (NM_002167, exon 1 of 3)","5' UTR (NM_002167, exon 1 of 3)",-358,NM_002167,3399,Hs.76884,NM_002167,ENSG00000117318,ID3,HEIR-1|bHLHb25,"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein",protein-coding
B045_1-4_chr11_r_c1102[k=12][m=2]_GGACA,chr11,122931896,122931896,-,2,NA,"exon (NM_153201, exon 2 of 8)","exon (NM_153201, exon 2 of 8)",-1147,NM_006597,3312,Hs.180414,XM_005271535,ENSG00000109971,HSPA8,HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP1|NIP71,heat shock 70kDa protein 8,protein-coding
B045_1-4_chr10_f_c640[k=4][m=2]_TGACA,chr10,97818098,97818098,+,2,NA,"3' UTR (NM_001134376, exon 6 of 6)","3' UTR (NM_001134376, exon 6 of 6)",6058,NR_036113,100422892,NR_036113,ENSG00000266407,MIR3157,0,microRNA 3157,ncRNA,
B045_1-4_chr22_f_c335[k=4][m=2]_GGACG,chr22,38055103,38055103,+,2,NA,promoter-TSS (NR_109952),promoter-TSS (NR_109952),366,NM_020315,57026,Hs.632762,NM_020315,ENSG00000241360,PDXP,CIN|PLP|dJ37E16.5,"pyridoxal (pyridoxine, vitamin B6) phosphatase",protein-coding
B045_1-4_chr11_r_c508[k=4][m=2]_GGACG,chr11,62384189,62384189,-,2,NA,"exon (NM_012200, exon 4 of 5)","exon (NM_012200, exon 4 of 5)",3952,NM_153265,256364,Hs.379785,XM_005273876,ENSG00000149499,EML3,ELP95,echinoderm microtubule associated protein like 3,protein-coding
B045_1-4_chr14_r_c476[k=7][m=2]_TGACT,chr14,75643120,75643120,-,2,NA,"exon (NM_006827, exon 1 of 5)","exon (NM_006827, exon 1 of 5)",-229,NM_006827,10972,Hs.74137,XM_005267284,ENSG00000170348,TMED10,P24(DELTA)|S31I125|S31III125|TMP21|Tmp-21-I|p23,transmembrane emp24-like trafficking protein 10 (yeast),protein-coding
B045_1-4_chr1_f_c1448[k=4][m=2]_GGACA,chr1,153617685,153617685,+,2,NA,"exon (NM_001206612, exon 6 of 6)","exon (NM_001206612, exon 6 of 6)",-11117,NM_001024210,6284,Hs.516505,XM_005245433,ENSG00000189171,S100A13,0,S100 calcium binding protein A13,protein-coding
B045_1-4_chr8_r_c375[k=4][m=2]_GGACA,chr8,71025333,71025333,-,2,NA,"3' UTR (NM_006540, exon 23 of 23)","3' UTR (NM_006540, exon 23 of 23)",41771,NM_024504,63978,Hs.736037,NM_024504,ENSG00000147596,PRDM14,PFM11,PR domain containing 14,protein-coding
B045_1-4_chrX_r_c531[k=6][m=2]_GAACT,chrX,76813003,76813003,-,2,NA,"exon (NM_000489, exon 30 of 35)","exon (NM_000489, exon 30 of 35)",-103356,NM_003868,8823,Hs.666364,NM_003868,FGF16,FGF-16|MF4,fibroblast growth factor 16,protein-coding,
B045_1-4_chr13_f_c285[k=4][m=2]_AGACC,chr13,73409383,73409383,+,2,NA,"exon (NM_006346, exon 9 of 18)","exon (NM_006346, exon 9 of 18)",-53117,NM_014953,22894,Hs.744104,XM_005266294,ENSG00000083520,DIS3,2810028N01Rik|EXOSC11|KIAA1008|RRP44|dis3p,DIS3 mitotic control homolog (S. cerevisiae),protein-coding
B045_1-4_chr12_f_c591[k=9][m=2]_TCACT,chr12,69991035,69991035,+,2,NA,"exon (NM_001198842, exon 11 of 16)","exon (NM_001198842, exon 11 of 16)",11573,NM_001198842,10576,Hs.189772,XM_005268574,ENSG00000166226,CCT2,99D8.1|CCT-beta|CCTB|HEL-S-100n|PRO1633|TCP-1-beta,"chaperonin containing TCP1, subunit 2 (beta)",protein-coding
B045_1-4_chr15_r_c60[k=10][m=2]_AAACT,chr15,34634157,34634157,-,2,NA,"3' UTR (NM_018648, exon 2 of 2)","3' UTR (NM_018648, exon 2 of 2)",-1205,NM_018648,55505,Hs.14317,NM_018648,ENSG00000182117,NOP10,DKCB1|NOLA3|NOP10P,NOP10 ribonucleoprotein,protein-coding
B045_1-4_chr1_r_c1253[k=7][m=2]_GGACC,chr1,94337683,94337683,-,2,NA,"exon (NM_014597, exon 5 of 7)","exon (NM_014597, exon 5 of 7)",-7079,NM_014597,30836,Hs.601998,XR_246259,DNTTIP2,ERBP|FCF2|HSU15552|LPTS-RP2|TdIF2,"deoxynucleotidyltransferase, terminal, interacting protein 2",protein-coding,
B045_1-4_chr17_r_c671[k=10][m=2]_GAACT,chr17,41843803,41843803,-,2,NA,"3' UTR (NM_004090, exon 3 of 3)","3' UTR (NM_004090, exon 3 of 3)",7647,NM_025237,50964,Hs.349204,NM_025237,ENSG00000167941,SOST,CDD|VBCH,sclerostin,protein-coding
B045_1-4_chr22_f_c402[k=10][m=2]_TGACC,chr22,39917891,39917891,+,2,NA,"exon (NM_001675, exon 2 of 2)","exon (NM_001675, exon 2 of 2)",1322,NM_182810,468,Hs.496487,XM_005261618,ENSG00000128272,ATF4,CREB-2|CREB2|TAXREB67|TXREB,activating transcription factor 4,protein-coding
B045_1-4_chr8_r_c104[k=4][m=2]_GCACC,chr8,22478780,22478780,-,2,NA,TTS (NR_033902),TTS (NR_033902),-16241,NM_021174,57805,Hs.744848,NM_199205,ENSG00000158941,CCAR2,DBC-1|DBC1|KIAA1967|NET35|p30 DBC|p30DBC,cell cycle and apoptosis regulator 2,protein-coding
B045_1-4_chr22_r_c238[k=12][m=2]_GAACT,chr22,31364506,31364506,-,2,NA,promoter-TSS (NM_014941),promoter-TSS (NM_014941),319,NM_014941,22880,Hs.555918,XM_005261391,ENSG00000133422,MORC2,ZCW3|ZCWCC1,MORC family CW-type zinc finger 2,protein-coding
B045_1-4_chr1_f_c1700[k=8][m=2]_TTACC,chr1,179889109,179889109,+,2,NA,"3' UTR (NM_015602, exon 10 of 10)","3' UTR (NM_015602, exon 10 of 10)",-34799,NM_014810,9857,Hs.413045,XM_005245635,ENSG00000135837,CEP350,CAP350|GM133,centrosomal protein 350kDa,protein-coding
B045_1-4_chrM_f_c184[k=59][m=2]_AAACC,chrM,4987,4987,+,2,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr14_f_c114[k=4][m=2]_GTACA,chr14,32560270,32560270,+,2,NA,"exon (NM_001173, exon 2 of 7)","exon (NM_001173, exon 2 of 7)",13775,NM_001030055,394,Hs.592313,XM_005267635,ENSG00000100852,ARHGAP5,GFI2|RhoGAP5|p190-B|p190BRhoGAP,Rho GTPase activating protein 5,protein-coding
B045_1-4_chr2_f_c1372[k=4][m=2]_GCACA,chr2,210897061,210897061,+,2,NA,"non-coding (NR_110291, exon 3 of 5)","non-coding (NR_110291, exon 3 of 5)",2415,NR_110291,101928020,Hs.635556,XR_241398,ENSG00000229127,AC007038.7,0,uncharacterized LOC101928020,ncRNA
B045_1-4_chr7_f_c346[k=7][m=2]_AGACT,chr7,44251990,44251990,+,2,NA,"3' UTR (NM_006555, exon 7 of 7)","3' UTR (NM_006555, exon 7 of 7)",11412,NM_006555,10652,Hs.520794,XM_005249582,ENSG00000106636,YKT6,0,YKT6 v-SNARE homolog (S. cerevisiae),protein-coding
B045_1-4_chr14_r_c752[k=7][m=2]_AGACA,chr14,104026689,104026689,-,2,NA,"exon (NM_004873, exon 2 of 2)","exon (NM_004873, exon 2 of 2)",-1966,NM_001015049,9529,Hs.5443,NM_001015048,ENSG00000166170,BAG5,BAG-5,BCL2-associated athanogene 5,protein-coding
B045_1-4_chr12_f_c43[k=14][m=2]_AGACA,chr12,2997224,2997224,+,2,NA,"exon (NM_001257098, exon 3 of 3)","exon (NM_001257098, exon 3 of 3)",-2809,NM_001160408,7289,Hs.655333,XM_005253763,ENSG00000078246,TULP3,TUBL3,tubby like protein 3,protein-coding
B045_1-4_chr15_f_c595[k=45][m=2]_AGACT,chr15,93441168,93441168,+,2,NA,"non-coding (NR_037602, exon 5 of 5)","non-coding (NR_037602, exon 5 of 5)",-2383,NM_001042572,1106,Hs.220864,XM_005254834,ENSG00000173575,CHD2,EEOC,chromodomain helicase DNA binding protein 2,protein-coding
B045_1-4_chr8_r_c760[k=4][m=2]_GGACT,chr8,144668226,144668226,-,2,NA,"intron (NM_001130056, intron 2 of 6)","intron (NM_001130056, intron 2 of 6)",7705,NM_145201,93100,Hs.493164,XM_005251101,ENSG00000147813,NAPRT1,PP3856,nicotinate phosphoribosyltransferase domain containing 1,protein-coding
B045_1-4_chr5_r_c929[k=17][m=2]_GGACT,chr5,173034972,173034972,-,2,NA,"3' UTR (NM_001159651, exon 3 of 3)","3' UTR (NM_001159651, exon 3 of 3)",-8694,NM_001159651,91272,Hs.425091,XM_005266008,ENSG00000145919,BOD1,FAM44B,biorientation of chromosomes in cell division 1,protein-coding
B045_1-4_chr12_r_c383[k=4][m=2]_GGACC,chr12,51488784,51488784,-,2,NA,"3' UTR (NM_001173453, exon 14 of 14)","3' UTR (NM_001173453, exon 14 of 14)",11330,NM_030809,81566,Hs.524425,NM_030809,ENSG00000110925,CSRNP2,C12orf2|C12orf22|FAM130A1|PPP1R72|TAIP-12,cysteine-serine-rich nuclear protein 2,protein-coding
B045_1-4_chr11_f_c588[k=5][m=2]_TGACT,chr11,63960749,63960749,+,2,NA,"exon (NM_006819, exon 2 of 14)","exon (NM_006819, exon 2 of 14)",7162,NM_001282653,10963,Hs.337295,XM_005273723,ENSG00000168439,STIP1,HEL-S-94n|HOP|IEF-SSP-3521|P60|STI1|STI1L,stress-induced phosphoprotein 1,protein-coding
